available_capacity_MW,probability
107.842,2.7862942495152724e-10
107.8748,1.8577028610924806e-10
108.2882,2.4138813259180824e-08
108.4519,2.55849206871789e-10
108.8595,2.6878206927114877e-10
109.0132,2.108875215678382e-12
109.1179,2.355051247106939e-10
109.2903,2.172302750358193e-08
109.3254,1.5850433375112757e-10
109.8398,2.1387055972594707e-10
110.0,1.6989081141815552e-07
110.1419,2.363304605309711e-10
110.142,2.034906014703218e-08
110.3486,1.940981366236929e-08
110.3596,2.0132068034985882e-08
110.6179,1.947400508084554e-10
110.6332,1.9700667641858858e-08
110.6879,1.850190195753868e-12
110.8319,1.3920779647028247e-10
110.9629,1.907443645612052e-08
111.3486,1.8307088348419414e-08
111.4519,1.7717170530906835e-10
111.4628,1.7026937788096114e-08
111.4803,2.0733797189881247e-10
111.7904,1.661785916565657e-08
112.0,1.3111528749494799e-11
112.2882,1.5204354560348425e-08
112.342,1.6044536988734322e-10
112.3945,1.2043547264895317e-10
112.6332,1.5226583518813984e-08
112.842,1.386111028167951e-08
112.8748,1.8297901683572833e-10
113.2882,1.4432632050027705e-10
113.4519,1.2727851958015765e-08
113.8595,1.3305114204043395e-08
114.0132,1.0491121653753569e-10
114.1179,1.1715785244446136e-08
114.2903,1.298823018370993e-10
114.3254,1.5612274579222735e-10
114.8398,1.0639520269194842e-08
115.0,1.6733813729735476e-07
115.1419,1.1698711062777961e-08
115.142,2.00433077712189e-08
115.3486,1.1605156216287133e-10
115.3596,1.982957604826731e-08
115.6179,9.687825759915585e-09
115.6332,1.9404657610285747e-08
115.6879,9.204229004129092e-11
115.8319,1.3711614633042438e-10
115.9629,1.8787835786526015e-08
116.3486,1.8032017376280723e-08
116.4519,8.813844935829916e-09
116.4628,1.0180431216552828e-10
116.4803,1.0263539537548147e-08
116.7904,1.636816950509645e-08
117.0,6.522654453662818e-10
117.2882,1.497590334461933e-08
117.342,7.981751986819852e-09
117.3945,1.1862588382133435e-10
117.6332,9.103996743604458e-11
117.842,1.3652841822624831e-08
117.8748,9.057734850188058e-09
118.2882,7.179869984483479e-09
118.4519,1.2536611136717657e-08
118.8595,7.955147406325817e-11
119.0132,1.033348855682407e-10
119.1179,1.1539751110823999e-08
119.2903,6.4613165307849905e-09
119.3254,7.728309288812337e-09
119.8398,1.0479657426571406e-08
120.0,8.283367380189189e-06
120.1419,6.99467659887737e-11
120.142,9.921592558914638e-07
120.3486,5.773272158102437e-09
120.3596,9.81579370094941e-07
120.6179,9.542262489614314e-09
120.6332,9.605455783648293e-07
120.6879,9.065931959193952e-11
120.8319,6.7874542044105335e-09
120.9629,9.300124204317935e-07
121.3486,8.925988238309947e-07
121.4519,8.681413560144348e-09
121.4628,5.0645074486386554e-09
121.4803,6.136585427206327e-11
121.7904,8.102370657502628e-07
122.0,6.424649087252451e-10
122.2882,7.413188126580568e-07
122.342,7.861823124479816e-09
122.3945,5.87215857098789e-09
122.6332,4.529008481035552e-09
122.842,6.758262427617029e-07
122.8748,5.4156330261910066e-11
123.2882,7.0719897045135735e-09
123.4519,6.205719594181543e-07
123.8595,3.957484947086328e-09
124.0132,5.115231300493522e-09
124.1179,5.712266161839994e-07
124.2903,6.3642327900178645e-09
124.3254,4.620767522273171e-11
124.8398,5.187511578939463e-07
125.0,2.5657626085614603e-08
125.1419,3.479674974694045e-09
125.142,3.073200793427006e-09
125.3486,5.686526545980694e-09
125.3596,3.040429730484065e-09
125.6179,4.7234938261096296e-07
125.6332,2.9752778256362113e-09
125.6879,4.487771837245477e-09
125.8319,4.058228879641085e-11
125.9629,2.880701753671508e-09
126.3486,2.7648136096303357e-09
126.4519,4.297366939745931e-07
126.4628,4.988411296110886e-09
126.4803,3.052796285756683e-09
126.7904,2.5096991017741116e-09
127.0,3.1802973337690786e-08
127.2882,2.2962256812250415e-09
127.342,3.891663327315081e-07
127.3945,3.510972270447103e-11
127.6332,4.460958404366184e-09
127.842,2.0933632712098226e-09
127.8748,2.694140672120274e-09
128.2882,3.5006896680884433e-07
128.4519,1.9222138247844492e-09
128.8595,3.898022229099649e-09
129.0132,3.058404339025616e-11
129.1179,1.7693672458923586e-09
129.2903,3.1503445146570156e-07
129.3254,2.2987151562823604e-09
129.8398,1.606825175055619e-09
130.0,1.2764021057742619e-06
130.1419,3.4273915334499103e-09
130.142,1.5288397886492936e-07
130.3486,2.8148746758101376e-07
130.3596,1.512537012387275e-07
130.6179,1.4630962608018715e-09
130.6332,1.48012558497559e-07
130.6879,2.683245400508924e-11
130.8319,2.018866387094176e-09
130.9629,1.433076377457796e-07
131.3486,1.3754249522655963e-07
131.4519,1.3311039946916459e-09
